,EBIT / total assets,short-term liabilities / total assets,current assets / short-term liabilities,(current assets - inventory - receivables) / short-term liabilities,retained earnings / total assets,equity / total assets,total sales / total assets,(gross profit + depreciation) / total liabilities,gross profit / sales,total liabilities / ((profit on operating activities + depreciation) * (12/365)),(inventory * 365) / cost of products sold,profit on sales / total assets,gross profit (in 3 years) / total assets,(equity - share capital) / total assets,equity / fixed assets,logarithm of total assets,(total liabilities - cash) / sales,(short-term liabilities * 365) / cost of products sold),sales / short-term liabilities,operating expenses / total liabilities,profit on operating activities / sales,rotation receivables + inventory turnover in days,(receivables * 365) / sales,working capital,(sales - cost of products sold) / sales,(current assets - inventory - short-term liabilities) / (sales - gross profit - depreciation),total costs /total sales,long-term liabilities / equity,sales / receivables,sales / fixed assets,working capital / total assets,class
4423,0.0090624,0.48184,1.085,0.04449,0.0,0.30624,0.82649,0.051279,0.010965,0.37409,155.79,0.036619,0.020334,0.29059,0.64175,4.1129,0.83667,0.61002,1.7153,1.1385,0.042716,221.42,72.525,531.23,0.044306,0.029592,0.98905,0.6920000000000001,5.0328,1.7319,0.040962,0
4424,-0.07989600000000001,0.9724799999999999,0.79538,0.078887,-0.017713999999999997,-0.06479700000000001,0.34549,-0.056486,-0.23126,-0.40003,529.78,-0.090952,-0.2878,-0.10768,-0.28606,3.5012,3.0609,2.2282,0.35526,0.40988,-0.31398,736.12,66.877,-631.02,-0.26326,1.3885,1.2093,0.0,5.4578,1.5253,-0.19899,0
4425,-0.23098000000000002,0.52359,1.1367,0.076346,0.0,0.3217,1.8985,0.0087034,-0.12167,0.095448,107.71,0.021724,-0.3075,0.13263,0.79463,3.5697,0.33932,0.37496,3.6259,2.0586,0.0,106.74,27.517,265.78,0.26447,-0.71801,0.7369,0.0,13.265,4.6895,0.07157999999999999,0
4426,0.0088067,0.26194,1.9364,0.14824,0.0,0.67184,1.9866,2.407,0.0044331,0.014005,138.4,7.2559e-06,0.18644,0.23890999999999998,1.3634,3.3154,0.16519,0.45053,7.584,1.7717,0.0,86.06,45.555,507.07,0.70734,0.013108000000000002,0.29366,0.09855499999999999,8.0124,4.0314,0.24528000000000003,0
4427,0.016753999999999998,0.08698600000000001,8.8794,4.6868,0.0,0.9083399999999999,1.2361,0.56249,0.013554,0.061719,27.827,0.055991,0.27016,0.89513,3.9906,3.5992,-0.0284,0.07371,14.21,12.876,0.011892,107.69,81.122,2723.7,0.045297,0.0041147,0.98674,0.0,4.4994,5.4306,0.6853899999999999,0
4428,-0.27175,0.43341999999999997,1.9344,0.54406,-0.14060999999999998,0.30080999999999997,1.7955,-0.48166,-0.15297,-0.068084,31.973,-0.2723,-0.10001,0.30080999999999997,1.8618,3.5149,0.12324,0.21055,4.0989,-0.60656,-0.15327,123.81,86.764,1325.3,-0.15872,-0.8993,1.1587,0.051524,4.2068,10.995,0.405,0
4430,-0.9156799999999999,1.16,0.85805,0.052201,-0.31159000000000003,-0.16927999999999999,2.6084,-0.78084,-0.35105,-0.045572,20.951,-0.77099,-0.81175,-0.30503,-36.594,2.6735,0.44236,0.34327,2.2485,2.8901,-0.32891,130.81,103.67,-77.637,-0.29558,5.4093,1.3503,0.0,3.5208,563.86,-0.16467,0
4431,0.021237,0.0729,3.276,0.42325,0.0,0.066064,0.6704,0.058002,0.031678,0.26319,3.277,0.077402,0.05972,0.043048,0.086792,3.3369,1.3494,0.12294,9.1961,0.63494,0.12731,113.23,110.33,360.46,0.11546,0.32145999999999997,0.96871,13.033,3.3082,0.88074,0.16592,0
4432,0.020173,0.64815,1.1019,0.040016,0.0,0.32422,1.9161,0.063097,0.010528,1.0027,118.54,0.0,0.068519,0.24933000000000002,1.1344,2.8246,0.34296,0.36986,2.9562,2.5932,0.0,131.11,22.69,44.092,0.085415,0.062221000000000005,0.91485,0.0,16.087,6.7041,0.066039,0
4433,0.010548,0.21561999999999998,1.8976,0.45548,0.0,0.7190300000000001,1.0244,0.1626,0.010297,0.13966,29.08,0.037582,0.37852,0.56965,1.217,3.5266,0.18459,0.2185,4.751,3.5121,0.031164,110.8,82.783,650.71,0.036687,0.014669999999999999,0.98972,0.07942300000000001,4.4091,1.7338,0.19354000000000002,0
4434,0.07037,0.28563,2.0671,0.1026,0.23167,0.67281,0.92716,0.3995,0.076265,0.073715,136.9,0.083713,0.29131,0.67281,1.6427,4.4853,0.27956,0.34122,3.2303,0.29174,0.090726,221.97,97.767,9317.3,0.092784,0.078465,0.90722,0.0019472,3.7334,2.2528,0.30479,0
4435,0.015202,0.58031,1.0279,0.02198,0.0,0.33737,1.3482,0.075667,0.011276,0.23657,128.94,0.049280000000000004,0.092834,0.33719,0.83617,5.4415,0.48612,0.44676,2.3233,1.9603,0.043339,158.04,33.815,4482.3,0.036552,0.038029,0.98885,0.20147,10.794,3.3415,0.016219,0
4437,0.22354000000000002,0.28241,1.2699,0.15984,0.17943,0.38231,1.9145,0.60329,0.12315,0.051577,18.914,0.23831,0.22354,0.38231,0.59609,4.4933,0.22882,0.17839,6.4272,0.55088,0.13129,63.042,46.546,2373.7,0.12784,0.46935,0.87216,0.39283,7.8417,2.8301,0.076231,0
4438,0.035661,0.41834,1.9108,0.051041,0.34529,0.56718,2.1072,0.17069,0.017006,0.16386,53.192,0.048188999999999996,0.44268,0.56718,2.8268,4.4978,0.19111,0.21443,5.0127,0.11519,0.02298,135.42,85.932,11989.0,0.069672,0.038549,0.93033,0.0,4.2475,10.452,0.38101999999999997,0
4443,0.13425,0.19562000000000002,3.0062,1.3442,0.0,0.80438,1.6724,0.81651,0.080274,0.045361,19.382,0.22116,0.47065,0.79082,1.9527,3.5665,-0.039542,0.13479,8.5495,7.4189,0.070723,70.955,54.136,1446.3,0.13224,0.13035,0.92343,0.0,6.7423,4.0598,0.39244,0
4444,0.28696,0.081077,8.9109,5.9744,0.0,0.9189200000000001,2.1978,3.9478,0.13057,0.0087045,22.152,0.32247,0.53214,0.90775,3.3111,3.6507,-0.18298,0.043234,27.107,23.13,0.1262,39.54,20.638,2869.3,0.14672,0.25094,0.87264,0.0,17.686,7.919,0.64139,0
4445,0.028094,0.14244,6.1088,2.213,0.0,0.7841600000000001,1.1293,0.33972,0.024878,0.14137,63.833,0.011687999999999999,0.27156,0.77751,6.0367,3.8848,-0.083558,0.12745,7.9283,5.1777,0.0050115,179.35,116.18,5581.1,0.01035,0.027795,0.97575,0.0,3.1417,8.6935,0.7276699999999999,0
4446,-0.18031,0.037839,15.529,10.513,0.0,0.96216,0.54704,-3.0075,-0.3296,-0.0098009,68.142,-0.19513,-0.36577,0.6834399999999999,2.3331,2.2872,-0.65319,0.050984,14.457,19.614,-0.35682,126.64,34.187,106.51,-0.35669,-0.1874,1.3209,0.0,10.676,1.3265,0.54976,0
4447,0.26159,0.27864,2.6006,0.57172,0.0,0.66092,2.7569999999999997,0.8811,0.094881,0.03455,5.7664,0.29028000000000004,0.56156,0.5410699999999999,2.4002,3.1955,0.071143,0.11296,9.8945,7.275,0.10517,74.843,69.683,699.59,0.10529,0.34165,0.90861,0.091435,5.238,10.012,0.44598999999999994,0
4448,0.036663999999999995,0.062079999999999996,12.796,7.8951,0.11174,0.9379200000000001,1.0077,1.3695,0.036384,0.024674,14.277,0.030511,0.17124,0.29706,4.5612,2.4943,-0.41445,0.063531,16.232,15.74,0.035243,110.2,96.358,228.53,0.030279,0.033655000000000004,0.96388,0.0,3.7879,4.9003,0.73229,0
4451,0.029418,0.65981,1.4978,0.093562,0.0,0.34019,3.6521,0.059635,0.008055,0.41599,35.952,0.081562,0.15533,0.19455999999999998,28.962,3.14,0.16502,0.18479,5.5351,5.4115,0.011758,92.598,57.448,453.34,0.022333,0.063927,0.99196,0.0,6.3535,310.92,0.32844,0
4453,-0.019790000000000002,0.15138,4.1927,0.25958,0.0,0.84862,1.6521,0.22863,-0.011979,0.12438,87.215,-0.012081,0.011408,0.82242,2.3229,3.284,0.087737,0.090961,10.914,10.994,-0.0083719,131.54,43.683,929.46,-0.0073122,-0.02332,1.0118,0.0,8.3556,4.5223,0.48328999999999994,0
4455,0.0036810000000000002,0.46629,1.9131,0.070726,0.0,0.53371,1.2089,0.066322,0.0030449,0.57051,148.44,0.007046800000000001,0.003681,0.46776999999999996,4.9437,2.8798,0.38024,0.45103,2.5926,2.2171,0.0,259.38,132.43,322.81,0.14482,0.0068969999999999995,0.96273,0.0,2.7562,11.198,0.42575,0
4456,0.19823,0.26519000000000004,2.4866,0.12305,0.0,0.70632,1.5163,0.84892,0.13074,0.039049,14.44,0.1781,0.58759,0.6926800000000001,2.0738,3.5644,0.17246,0.19817,5.7177,4.5566,0.13165,150.88,138.13,1446.0,0.11746,0.22804000000000002,0.8713,0.0,2.6423,4.452,0.39421999999999996,0
4458,0.0020626999999999998,0.37096,1.4672,0.23689,0.0,0.62562,2.0956,0.15053,0.00098429,0.11823,65.109,-0.003682,0.29837,0.59268,1.3728,3.1813,0.13672,0.17671,5.6491,5.6072,0.024462,79.493,14.269,263.07,-0.0017567,0.003297,0.99905,0.0,25.579,4.5983,0.17331,0
4459,0.33097,0.16827999999999999,2.3693,1.0851,0.0,0.71604,1.5166,1.3057,0.21823,0.024483,7.1669,0.33308000000000004,0.49228,0.6987399999999999,1.1909,3.4607,0.066827,0.14219,9.0122,4.1679,0.22868,52.011,46.418,665.64,0.21962,0.38545999999999997,0.78407,0.16155,7.8634,2.5222,0.23043000000000002,0
4462,0.22365,0.089956,3.3691,0.2322,0.0,0.9078,0.7538,2.4657,0.29669,0.014674,19.176,0.19973,0.89467,0.9006,1.3026,4.0973,0.095865,0.16236,8.3796,6.0092,0.27295,136.64,122.54,2666.4,0.26497,0.19863,0.71501,0.0,2.9786,1.0816,0.21311,0
4463,0.016309999999999998,0.97765,0.90727,0.0002314,0.0,0.02235,1.4029,0.03483,0.011626,0.49885,197.87,0.040579000000000004,0.2182,0.021175,0.19777,3.2309,0.69688,0.71764,1.435,1.3935,0.033919,230.72,38.574,-154.28,0.028925,0.72975,0.98845,0.0,9.4624,12.414,-0.090657,0
4464,0.3254,0.13164,7.5554,1.3363,0.0,0.86836,1.7379,2.5447,0.18724,0.01336,189.01,0.3157,0.3254,0.8408100000000001,159.86,3.2588,-0.025151,0.092558,13.202,10.804,0.18347,171.94,17.265,1566.0,0.18165,0.31087,0.8139,0.0,21.141,319.94,0.86293,0
4465,-0.13919,0.9038799999999999,1.0225,0.029815,-0.56015,0.0089898,2.3633,-0.090394,-0.058895,-0.72823,112.29,-0.08847000000000001,-0.53843,-0.69933,0.11858,2.5485,0.40961,0.36866,2.6146,2.474,-0.040184,138.57,22.08,7.18,-0.037434,-15.482999999999999,1.0587,9.692,16.531,31.172,0.020304,0
4466,0.11699000000000001,0.40783,1.5368,0.10819,0.0,0.48739,2.5697,0.36278,0.045529,0.082399,47.53,0.12684,0.34951,0.47641000000000006,1.3058,3.9593,0.18315,0.16695,6.3008,4.7654,0.053859,82.759,37.575,1993.6,0.049361,0.18600999999999998,0.95491,0.08432,9.7139,6.8846,0.21891999999999998,0
4467,-0.16967000000000002,0.5162800000000001,0.66976,0.080252,0.027581,0.20776,0.8920100000000001,-0.1892,-0.19021,1.3355,33.152,0.0,-0.024898,0.19843,0.31757,3.7289999999999996,0.88688,0.50097,1.7277,1.3008,0.0,124.54,86.236,-913.59,-0.15533,-0.81666,1.1759,1.1631,4.2325,1.3635,-0.1705,0
4468,0.1431,0.12153,2.455,0.59732,-0.0011790999999999998,0.81218,1.1792,0.96767,0.12136,0.034715,14.061,0.08092200000000001,0.33964,0.13193,1.1576,3.7972,0.15928,0.11066,9.7022,5.8473,0.12017,69.887,56.792,1108.5,0.068627,0.14327,0.88732,0.0,6.427,1.6806,0.17684,0
4469,0.051484,0.83215,1.1676,0.0066145,0.0,0.16077,2.0317,0.074369,0.02534,0.13939,131.86,0.18739,0.10684,0.12791,5.6642,3.1909,0.41042,0.4512,2.4415,2.1976,0.093402,173.56,53.864,216.46,0.092231,0.28364,0.97473,0.0,6.7764,71.582,0.13947,0
4470,0.27405999999999997,0.48881,0.95559,0.038276,0.0,0.50492,3.7472,0.5918,0.073138,0.054865,5.0871,0.29378000000000004,0.93362,0.27405999999999997,0.9475,3.36,0.12797,0.14154,7.666,6.9755,0.075219,43.676,38.988,-49.723,0.078401,0.54278,0.92697,0.0,9.3619,7.0318,-0.021707,0
4471,0.015901,0.40983,1.3719,0.052973,0.0,0.34441,1.5767,0.099928,0.010085,0.29321,71.943,0.010341,0.055776,0.17703,0.78676,3.8546,0.4031,0.26164,3.8473,2.3893,0.015804,125.13,53.659,1090.5,0.0065587,0.037489,0.9901,0.61962,6.8022,3.6018,0.15242,0
4472,0.15027000000000001,0.052322,16.389,6.3683,-0.00021027,0.94768,0.52241,3.1242,0.28764,0.013467,89.371,0.11535,0.33281,0.15006,6.6518,4.3278,-0.5354,0.12854,9.9844,7.7797,0.22265,366.34,296.7,17129.0,0.22081,0.15855999999999998,0.73586,0.0,1.2302,3.6668,0.80521,0
4473,0.063968,0.23303000000000001,2.5095,0.074259,0.0,0.7669699999999999,2.5422,0.35269,0.025163,0.090828,59.853,0.07386000000000001,0.15804,0.7226899999999999,1.8472,3.3080000000000003,0.085565,0.094407,10.909,10.592,0.026474,81.479,23.365,714.85,0.029054,0.066054,0.97532,0.0,15.622,6.1226,0.35176,0
4474,-0.23970999999999998,0.48425,1.4857,0.015076,0.0,0.51575,2.8094,-0.42022,-0.085324,-0.086746,80.69,-0.22624,-0.2181,0.28393,1.8383,2.714,0.17152,0.15952,5.8016,6.2688,-0.079126,92.523,5.3348,121.75,-0.08053,-0.46476999999999996,1.0851,0.0,68.419,10.014,0.2352,0
4475,0.026418999999999998,0.46282,1.9704,0.057082,0.0,0.53718,7.2231,0.32664,0.0036575,0.050292,22.293,0.182,0.13845,0.29256,6.1,2.3105,0.060417,0.065731,15.607,15.214,0.025196,44.747,23.016,91.8,0.025196,0.040073000000000004,0.99636,0.0,15.858,82.022,0.44911999999999996,0
4476,-0.12708,0.13399,2.5668,0.56349,0.0,0.81103,1.6855,-0.37753,-0.075392,-0.083669,28.58,-0.11337,0.01273,0.10309000000000001,1.2362,3.2553,0.068555,0.074485,12.579,9.5196,-0.077732,58.126,27.624,377.94,-0.067258,-0.15667999999999999,1.075,0.0,13.213,2.5691,0.20993,0
4477,0.55655,0.23495,2.6408,0.66148,0.0,0.74653,2.6521,2.6295,0.20986,0.012577,9.2023,0.51078,1.0321,0.7076899999999999,1.9669,3.1096,0.039754,0.10972,11.288,8.4481,0.21184,64.003,56.573,496.19,0.1926,0.60056,0.79705,0.0,6.4518,6.9875,0.38550999999999996,0
4478,0.18072,0.15699000000000002,2.478,0.65189,0.0,0.84121,2.101,1.3191,0.086013,0.024783,21.13,0.18887,0.59109,0.13782,1.3768,4.5757,0.027518,0.082103,13.383,12.042,0.087972,49.804,30.574,8733.9,0.089894,0.21483000000000002,0.9141,0.0,11.938,3.4389,0.23203000000000001,0
4479,0.23175,0.5763699999999999,1.7298,1.117,-0.036136,0.42363,2.1789,0.40505,0.10636,0.080995,52.991,0.23593000000000003,0.24222,0.15133,141.25,2.708,-0.030959,0.29664,3.7804,3.3711,0.10808,59.161,11.907,214.72,0.10828,0.44254,0.89325,0.0,30.654,726.52,0.42063,0
4480,0.24775,0.28043,3.4185,0.23954,0.0,0.7195699999999999,4.5163,0.91535,0.054856,0.036415,0.0,0.24775999999999998,0.22668,0.46816,17.397,2.2986,0.048121,0.065696,16.105,15.222,0.054858,72.047,72.047,134.88,0.054859,0.3443,0.94514,0.0,5.0662,109.19,0.6782100000000001,0
4481,0.6078,0.19905,3.6884,0.85327,0.68997,0.80095,2.0396,3.2116,0.298,0.010361,57.456,0.61192,1.0984,0.79957,3.0131,3.3493,0.02082,0.13942,10.247,7.1725,0.29854,100.99,60.773,1196.1,0.30002,0.75884,0.70321,0.0,6.006,7.6729,0.53513,0
4482,0.083289,0.42253999999999997,2.2351,0.032252,0.0,0.5774600000000001,1.3249,0.19718,0.062863,561.72,235.1,0.0074638000000000005,0.29679,0.52522,10.388,2.9810000000000003,0.31545,0.46335,3.1357,2.1582,0.0,256.42,94.6,499.52,0.31172,0.14423,0.69226,0.0,3.8584,23.835,0.52187,0
4483,0.04334,0.18641,1.8078,0.80577,0.0,0.8092699999999999,1.0489,0.33689,0.041318,0.10959,30.887,0.038232999999999996,0.35182,0.71563,1.2206,3.5404,0.041891,0.18443,5.6271,5.2992,0.035366,64.996,35.234,522.59,0.036449,0.047148,0.95911,0.0,10.359,1.5821,0.15058,0
4484,0.0077633,0.53335,1.5299,0.010125,0.0,0.33798,1.9813,0.03891,0.0039183,1.396,7.0569,-0.0049998,0.11691,0.17157,1.8368,3.4760000000000004,0.33192,0.26851,3.7148,3.0004,-0.0011042,149.33,142.26,845.83,-0.0025237,0.012354,0.99619,0.3807,2.5658,10.768,0.28265,0
4485,-0.13881,0.78362,0.37183,0.0049797,0.0,0.046743,0.5979899999999999,-0.11919,-0.23213,-0.34651,102.2,-0.1206,0.034977,0.042411000000000004,0.065964,4.2983,1.5894,1.0905,0.76311,0.75383,-0.19547,175.47,52.66,-9783.3,-0.20168,-2.4502,1.2248,3.0419,6.9313,0.84387,-0.49223999999999996,0
4486,0.070656,0.38139,2.3665,0.00097314,-0.010879999999999999,0.61861,4.8509,0.33849,0.014566,0.077859,37.245,0.1043,0.20551,0.088397,6.3498,1.9745,0.078549,0.080351,12.719,12.445,0.021613,67.886,31.442,49.148999999999994,0.021502,0.092516,0.98544,0.0,11.609,49.793,0.5211899999999999,0
4487,0.06046900000000001,0.20965999999999999,0.76609,0.61394,0.0,0.66108,0.085399,0.18059,0.70808,0.50223,46.906,0.021758,0.21267,0.58659,0.78758,3.5258,3.7349,3.2944,0.40732,0.18778,0.25478,136.34,101.39,-164.59,0.25478,0.082358,0.57383,0.15595,3.6001,0.10174,-0.049042,0
4488,-0.037654,0.16502,5.1505,1.1353,0.0,0.8349799999999999,0.72655,0.011717,-0.051825,3.2641,0.0,-0.042253,0.55363,0.80115,5.565,3.1697,-0.025106,0.21465,4.4027,4.6587,-0.052167,332.87,332.87,1012.4,-0.058155,-0.045096,1.0515,0.0,1.0965,4.8424,0.68493,0
4489,0.18947999999999998,0.38237,1.7273,0.034049,0.0,0.6029,1.3005,0.55788,0.14571,0.058924,76.84,0.18868,0.22391,0.5979,1.7758,3.9993,0.30296,0.34393,3.401,2.7997,0.14809,181.73,116.04,2777.0,0.14509,0.25316,0.8568,0.0,3.1456,3.8304,0.27812,0
4490,0.028270999999999998,0.50216,1.5468,0.3486,0.0,0.49783999999999995,1.85,0.072266,0.015281,2.0875,96.397,0.0058993000000000006,0.073369,0.28843,2.2298,3.2105,0.27058,0.32117,3.6841,3.1136,0.0,118.71,37.239,445.79,0.15486,0.056787,0.85796,0.0,9.8016,8.2862,0.27457,0
4491,0.080469,0.72064,1.3315,0.98832,0.0,0.27936,0.54965,0.12965,0.1464,0.29552,148.54,0.06763999999999999,0.31406,0.27634000000000003,6.8997,4.3515,0.015308,1.4951,0.76273,0.66887,0.1243,164.21,33.956,5366.6,0.12306,0.23749,0.85695,0.0,10.749,13.575,0.23886999999999997,0
4493,-0.089413,0.38486,1.441,0.16656,-0.64164,-0.14835,1.2143,-0.061767,-0.073634,-0.68894,84.274,0.0022933000000000003,0.015486,-0.25382,-0.33305,3.181,0.9457,0.31754,3.1552,1.0554,-0.060977,147.43,63.317,257.47,0.0018886,0.60272,1.0719,-5.1346,5.7647,2.7262,0.16972,0
4494,0.060811000000000004,0.44578,2.0165,0.63676,0.48453,0.5542199999999999,3.1465,0.15521,0.019326,0.18711,6.4874,0.072714,0.49175,0.53233,5.4832,3.3586,0.051755,0.14502,7.0585,6.8954,0.022576,71.348,65.011,1034.8,0.023109,0.08477699999999999,0.98079,0.0,5.6145,31.13,0.45314,0
4495,0.1297,0.68338,1.209,0.14858,0.0,0.31661999999999996,2.5112,0.2395,0.051646,0.08775,20.726,0.24961,0.52043,0.30405,1.8219,3.5995,0.23627,0.30216,3.6748,3.3095,0.089844,105.33,86.662,567.91,0.099397,0.29971,0.94898,0.0,4.2118,14.45,0.14282999999999998,0
4496,0.33119,0.20979,4.4058,3.6791,0.0,0.78913,1.4519,1.7419,0.22811,0.019551,17.719,0.32363000000000003,1.7052,0.78913,10.424,3.4507,-0.38128,0.18594,6.9208,5.3506,0.22274,38.328,24.559,2017.2,0.2229,0.41968999999999995,0.77497,0.0,14.862,19.179,0.7145100000000001,0
4497,0.23964000000000002,0.5665600000000001,1.7549,0.47621,0.0,0.41163999999999995,3.7066,0.40903,0.06465,0.077359,27.975,0.2534,0.93373,0.23964000000000002,71.593,3.7355,0.092888,0.16407,6.5424,5.8692,0.06812,71.338,45.275,2326.0,0.068363,0.58215,0.93541,0.0,8.0618,644.67,0.42768999999999996,0
4499,-0.20936999999999997,0.70757,0.14225,0.00071213,-0.63038,0.2924,0.14808,-0.22867,-1.4139,-0.18516,106.71,-0.17395,-0.34021,-0.83975,0.32512,3.9104,4.7751,2.1972,0.20928,0.4551,-1.1814,246.85,14.778,-4938.4,-1.1747,-0.71604,2.4011,0.0,24.699,0.16465,-0.60692,0
4501,0.086862,0.064337,15.206,7.8858,0.0,0.9313600000000001,1.0859999999999999,1.3675,0.079984,0.032492,123.4,0.064077,0.086862,0.92771,42.979,4.136,-0.40104,0.062957,16.88,14.888,0.058393,158.3,42.174,12502.0,0.059003,0.07449700000000001,0.92186,0.0,8.6547,50.115,0.91399,0
4502,0.12164000000000001,0.32685,2.8249,1.0112,0.0,0.67315,4.3934,0.39079,0.027686,0.08727,3.2106,0.12068,0.21082,0.60907,8.778,3.3115,0.0057207,0.076496,13.442,13.073,0.027029,49.251,46.129,1222.1,0.027468,0.13512000000000002,0.9724,0.0,7.9127,57.29,0.59647,0
4503,0.12579,0.19,2.8247,1.1712,0.2744,0.75939,1.4044,0.79204,0.094684,0.040641,36.059,0.12952,0.2744,0.75939,1.6391,4.3881,0.002633,0.1519,6.9923,0.58788,0.09749,86.311,52.362,8474.0,0.058518,0.16565,0.94148,0.039921,6.9707,2.8675,0.34669,0
4504,0.018526,0.074135,12.52,3.4414,0.0014148,0.9235200000000001,1.0834,0.44375,0.0171,0.033347,125.06,0.017027,0.29484,0.6888,12.857,3.6374,-0.1557,0.069522,14.614,13.943,0.056341,226.75,103.66,3705.8,0.015717,0.0036036,0.98399,0.0,3.5213,15.083,0.8540399999999999,0
4505,-0.075687,0.64708,1.4789,0.39594,0.0,0.35291999999999996,2.3321,-0.10251,-0.032454,2.3064,60.643,0.0014702,-0.011262,0.27805,8.206,2.8252,0.17236,0.51539,3.6041,1.9403,0.0,109.68,77.032,207.22,0.46165,-0.21445999999999998,0.56473,0.0,4.7383,54.227,0.30990999999999996,0
4506,-0.62662,0.67579,0.8663,0.11361,0.0,0.32421,7.1073,-0.8042,-0.088166,0.019269,20.53,1.0898,-0.47914,0.11375,0.78206,2.9779,0.093326,0.1123,10.517,8.9044,0.15279,26.123,8.7405,-85.86200000000001,0.15333,-1.9328,1.0872,0.0,41.76,17.144,-0.090351,0
4507,-0.007461,0.7484,0.98131,0.043831,-0.011611,0.16699999999999998,1.4732,0.070985,-0.0050643,0.21759,107.12,0.072282,0.038418,0.15067,0.62881,4.388999999999999,0.55493,0.53421,1.9685,1.6818,0.041418,173.83,71.963,-342.55,0.049063,0.0,1.005,0.48331999999999997,5.0721,5.5471,-0.013987999999999999,0
4508,0.11632999999999999,0.057179999999999995,9.2179,4.439,0.31119,0.91489,0.91145,2.0555,0.14195,0.019903,21.608,0.087523,0.42267,0.91489,1.9345,4.2624,-0.10773,0.07883,14.332,1.2266,0.1068,121.7,102.58,8597.5,0.11491,0.10440999999999999,0.88509,0.015496000000000001,3.5582,1.7329,0.4699,0
4509,0.048251,0.5726399999999999,1.0823,0.022538,0.17967,0.33682,1.7533,0.23536,0.028588,0.12018,87.858,0.07097,0.22095,0.33682,0.8858,4.0557,0.34927,0.3448,2.9475,0.1193,0.042049,131.23,44.783,535.63,0.016025,0.12364000000000001,0.98398,0.06600299999999999,8.1504,4.4387,0.047113,0
4510,0.074067,0.30071,2.4374,0.65732,0.0,0.69439,2.802,0.45056,0.026433,0.06953,47.62,0.10966,0.91479,0.69312,2.6002,3.8962,0.046031,0.11169,9.3179,8.8099,0.02958,69.728,23.971,3403.1,0.039136,0.10665999999999999,0.974,0.0,15.227,10.492,0.43223999999999996,0
4511,0.2193,0.052854,12.846,10.518,0.0,0.8859999999999999,0.8901399999999999,2.086,0.24637,0.017302,20.114,0.18932000000000002,0.38145,0.87441,2.76,3.6352,-0.49109,0.075417,16.842,6.1474,0.22595,50.456,34.62,2703.0,0.21268,0.19587000000000002,0.76181,0.0,10.543,2.7729,0.62613,0
4514,-0.23423000000000002,0.64236,0.99202,0.020264,-0.20140999999999998,0.16625,1.4641,-0.29724,-0.16374,-0.1312,83.374,-0.20405,-0.19706,0.16625,0.45828,4.3348,0.44481,0.38699,2.2269,-0.31547,-0.14265,159.27,62.53,-110.86,-0.16036,-1.3898,1.1604,0.026847000000000003,5.8372,3.9432,-0.005128499999999999,0
4515,0.31077,0.089087,10.033,2.336,0.65932,0.9059,1.1777,3.7628,0.26583,0.0087759,45.556,0.30929,0.81282,0.9059,8.5313,4.6051,-0.10157,0.10369,13.122,3.4718,0.26457,214.09,180.61,32419.0,0.26509,0.2777,0.73491,0.0,2.0209,11.009,0.8047300000000001,0
4517,0.46629,0.31858000000000003,2.8617,1.2582,0.0,0.68142,2.0411,1.561,0.22845,0.022097,73.189,0.38558000000000003,1.1461,0.65355,7.7165,3.8559,-0.030173,0.19243,6.4069,5.1966,0.22025,91.351,31.988,4256.7,0.18891,0.55147,0.78289,0.0,11.41,23.115,0.59311,0
4518,0.22451999999999997,0.48207,1.3538,0.55166,0.40204,0.46376000000000006,1.6206,0.47215,0.13855,0.62362,32.508,0.043966000000000005,0.81504,0.45316000000000006,1.335,4.2531,0.28364,0.42206,3.3617,2.13,0.0,87.094,64.182,3055.0,0.2952,0.48413,0.73435,0.11681,5.687,4.6651,0.17056,0
4519,0.007624600000000001,0.47938000000000003,1.2462,0.093221,0.0,0.46258999999999995,3.0103,0.069219,0.0025329,0.3769,18.583,0.008762899999999999,0.097751,0.39196,1.1491,3.5128,0.17224,0.15971,6.2795,5.5852,0.0059643,67.019,48.49,384.38,0.002911,0.0053643,0.99748,0.0,7.5273,7.4774,0.11803,0
4520,0.022974,0.36194,1.3577,0.046712,-0.18184,0.13806,1.2628,0.12654,0.018193,0.22181,121.83,0.038097000000000006,0.068192,-0.15887,0.27146,3.4542,0.67068,0.29553,3.489,1.4209,0.034397,137.15,18.999,368.48,0.030169,0.16641,0.98188,3.6216,19.212,2.483,0.12947999999999998,0
4521,0.08503,0.14013,6.9029,1.2897,0.0,0.85987,1.5936,0.76546,0.053357,0.047784,19.879,0.07552,0.1805,0.81083,26.298,3.3095,0.020608,0.092308,11.372,10.833,0.04739,180.16,161.22,1686.8,0.04739,0.074063,0.94738,0.0,2.2639,48.738,0.8271700000000001,0
4522,-0.05424299999999999,1.5876,0.47805,0.0198,-0.62115,-0.5876100000000001,2.4776,-0.0076274,-0.021893,-2.03,38.537,-0.068682,-0.068508,-0.67143,-2.4378,2.7756,0.63076,0.6235,1.5606,1.6039,-0.027528,107.18,67.574,-494.27,-0.027721,0.08556699999999999,1.0218,0.0,5.4015,10.279,-0.8286399999999999,0
4523,0.061995,0.36743000000000003,1.7645,0.14287,0.0,0.61963,1.6117,0.21584,0.038466,0.15416,55.593,0.048082,0.26184,0.4412,1.762,3.4066,0.20457,0.23499,4.3864,4.1107,0.038556,134.94,81.007,716.37,0.029833,0.074206,0.96192,0.0,4.5058,4.5832,0.28091,0
